type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
SPLIT FOYER,Residential Low-Density,0,9101,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Mitchell,Normal,Single-family Detached,Split Foyer,Average,Above Average,1978,Gable,Standard (Composite) Shingle,Plywood,104,Average/Typical&Good,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1097,0,1097,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1110,0,1110,1,1,1,1,Good,4,Typical Functionality,1,Average,Attached to the home,Finished,2,602,Average/Typical,Paved,303,30,No,No,No,Jul,2009,Warranty Deed - Conventional,Normal Sale,165500
2-1/2 STORY ALL AGES,Residential Medium Density,35,6300,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,Two and one-half story: 2nd level unfinished,Above Average,Above Average,1914&2001,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,742,742,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,742,742,1484,0,2,3,1,Average/Typical,9,Typical Functionality,1,Good,No,No,0,0,No,Paved,0,291,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,128000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9790,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Adjacent to feeder street&Normal,Single-family Detached,One story,Above Average,Average,1967,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Low Quality,251,491,1372,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1342,0,1342,0,2,3,1,Average/Typical,7,Typical Functionality,1,Good,Attached to the home,Unfinished,2,457,Average/Typical,Paved,0,0,No,No,No,Sep,2009,Warranty Deed - Conventional,Normal Sale,161500
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60,10800,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,1915&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical&Good,Poured Concrete,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,686,0,686,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,966,686,1652,1,2,4,1,Average/Typical,7,Typical Functionality,0,No,Detached from home,Unfinished,1,416,Average/Typical,Paved,0,0,No,No,Shed (over 100 SF),Jun,2010,Warranty Deed - Conventional,Normal Sale,139000
2-STORY 1946 & NEWER,Residential Low-Density,76,10142,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Single-family Detached,Two-story,Good,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,656,300,956,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,956,1128,2084,1,2,4,1,Good,8,Typical Functionality,0,No,Built-In (Garage part of the house - typically has room above the garage),Rough Finished,2,618,Average/Typical,Paved,0,45,No,No,No,Jan,2010,Warranty Deed - Conventional,Normal Sale,233000
1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,50,6000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Single-family Detached,One story,Below Average,Good,1954&2000,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,901,901,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,901,0,901,0,1,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,Unfinished,1,281,Fair&Average/Typical,Paved,0,0,No,No,No,Aug,2008,Warranty Deed - Conventional,Normal Sale,107900
2-STORY 1946 & NEWER,Residential Low-Density,0,12205,Paved,No alley access,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Single-family Detached,Two-story,Above Average,Very Good,1966&2007,Gable,Standard (Composite) Shingle,Hard Board,157,Average/Typical,Cinder Block,Typical (80-89 inches),Fair - dampness or some cracking or settling,Good Exposure,Low Quality&Unfinished,568,264,832,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,976,1111,2087,0,2,5,1,Good,9,Typical Functionality,0,No,Attached to the home,Finished,2,444,Average/Typical,Paved,133,168,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,187500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,43,3182,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Townhouse End Unit,One story,Good,Average,2005&2006,Gable,Standard (Composite) Shingle,Vinyl Siding,11,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,16,1129,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,0,1145,0,2,2,1,Good,5,Typical Functionality,1,Good,Attached to the home,Finished,2,397,Average/Typical,Paved,100,16,No,No,No,Sep,2009,Warranty Deed - Conventional,Normal Sale,160200
SPLIT OR MULTI-LEVEL,Residential Low-Density,0,11333,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Mitchell,Normal,Single-family Detached,Split Level,Above Average,Average,1976,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Unfinished,539,490,1029,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1062,0,1062,1,1,3,1,Average/Typical,5,Typical Functionality,2,Average,Attached to the home,Rough Finished,2,539,Average/Typical,Paved,120,0,No,No,No,May,2007,Warranty Deed - Conventional,Normal Sale,146800
2-STORY 1946 & NEWER,Residential Low-Density,92,9920,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Northridge,Normal,Single-family Detached,Two-story,Good,Average,1996&1997,Gable,Standard (Composite) Shingle,Metal Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,862,255,1117,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1127,886,2013,1,2,3,1,Average/Typical,8,Typical Functionality,1,Average,Attached to the home,Unfinished,2,455,Average/Typical,Paved,180,130,No,No,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,269790
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,76,9158,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,One story,Very Good,Average,2007,Gable,Standard (Composite) Shingle,Cement Board,140,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,1496,1496,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1496,0,1496,0,2,3,1,Good,7,Typical Functionality,0,No,Attached to the home,Finished,2,474,Average/Typical,Paved,168,130,No,No,No,Jun,2007,Home just constructed and sold,Home was not completed when last assessed,225000
2-STORY 1946 & NEWER,Residential Low-Density,0,10832,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Good,Average,1994&1996,Gable,Standard (Composite) Shingle,Metal Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,712,712,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1086,809,1895,0,2,3,1,Good,7,Typical Functionality,1,Average,Attached to the home,Finished,2,409,Average/Typical,Paved,143,46,No,No,Shed (over 100 SF),Oct,2008,Warranty Deed - Conventional,Normal Sale,194500
2-STORY 1946 & NEWER,Residential Low-Density,70,8400,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Single-family Detached,Two-story,Above Average,Above Average,1980&1981,Gable,Standard (Composite) Shingle,Hard Board,130,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,650,650,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,888,676,1564,0,2,3,1,Average/Typical,7,Typical Functionality,1,Average,Attached to the home,Unfinished,2,476,Average/Typical,Paved,0,50,No,Minimum Privacy,No,Apr,2010,Warranty Deed - Conventional,Normal Sale,171000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,71,8197,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Above Average,Average,1977,Gable,Standard (Composite) Shingle,Plywood,148,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,660,660,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1285,0,1285,0,1,3,1,Average/Typical,7,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,528,Average/Typical,Paved,138,0,No,Minimum Privacy,No,Apr,2007,Warranty Deed - Conventional,Normal Sale,143500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,57,7677,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Average,1953,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,570,203,773,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,773,0,773,0,1,2,1,Average/Typical,4,Typical Functionality,0,No,Attached to the home,Unfinished,1,240,Average/Typical,Paved,0,0,No,No,No,Apr,2008,Warranty Deed - Conventional,Abnormal Sale,110000
2-STORY 1946 & NEWER,Residential Low-Density,104,13518,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,Two-story,Excellent,Average,2008&2009,Hip,Standard (Composite) Shingle,Vinyl Siding,860,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1926,1926,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1966,1174,3140,0,3,4,1,Excellent,11,Typical Functionality,2,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,3,820,Average/Typical,Paved,144,78,No,No,No,Jul,2009,Home just constructed and sold,Home was not completed when last assessed,485000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,7200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,South & West of Iowa State University,Adjacent to feeder street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,1937&1950,Gable,Standard (Composite) Shingle,Wood Siding,252,Average/Typical,Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,569,162,731,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,981,787,1768,1,1,3,1,Good,7,Typical Functionality,2,Average,Detached from home,Unfinished,1,240,Average/Typical,Paved,0,0,No,Minimum Privacy,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,175000
2-STORY 1946 & NEWER,Residential Low-Density,79,12798,Paved,No alley access,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Clear Creek,Adjacent to feeder street&Normal,Single-family Detached,Two-story,Above Average,Average,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,462,154,616,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,616,1072,1688,1,2,4,1,Good,8,Typical Functionality,0,No,Attached to the home,Rough Finished,2,603,Average/Typical,Paved,403,114,No,No,Shed (over 100 SF),May,2008,Warranty Deed - Conventional,Normal Sale,200000
1-STORY 1945 & OLDER,Residential Medium Density,40,4800,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Single-family Detached,One story,Below Average,Good,1916&1990,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,197,999,1196,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1196,0,1196,1,1,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,2,440,Average/Typical,Paved,0,0,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,109900
2-STORY 1946 & NEWER,Residential Low-Density,63,8199,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Average,2005,Gable,Standard (Composite) Shingle,Wood Shingles,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,648,80,728,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,728,728,1456,1,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Finished,2,410,Average/Typical,Paved,36,18,No,No,No,Oct,2008,Warranty Deed - Conventional,Normal Sale,189000
2-STORY 1946 & NEWER,Residential Low-Density,107,13891,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,Two-story,Excellent,Average,2008&2009,Hip,Standard (Composite) Shingle,Vinyl Siding,424,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,1734,1734,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1734,1088,2822,0,3,4,1,Excellent,12,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Rough Finished,3,1020,Average/Typical,Paved,52,170,No,No,No,Jan,2009,Home just constructed and sold,Home was not completed when last assessed,582933
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Average,1954,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,812,124,936,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1128,0,1128,0,1,2,1,Average/Typical,5,Minor Deductions 1,0,No,Attached to the home,Unfinished,1,286,Average/Typical,Paved,0,0,No,Good Wood,No,Jun,2006,Warranty Deed - Conventional,Sale between family members,118000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,12274,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Somerset,Normal,Single-family Detached,One story,Good,Average,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,256,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1417,1417,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1428,0,1428,0,2,3,1,Excellent,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,554,Average/Typical,Paved,0,60,No,No,No,Jul,2008,Home just constructed and sold,Home was not completed when last assessed,227680
SPLIT OR MULTI-LEVEL,Residential Low-Density,75,9750,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,Split Level,Average,Average,1967,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Average Rec Room,400,100,980,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,980,0,980,0,2,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Finished,1,384,Average/Typical,Paved,68,0,No,No,No,Oct,2006,Warranty Deed - Conventional,Normal Sale,135500
2-STORY 1945 & NEWER,Residential Low-Density,144,21384,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,Two-story,Average,Above Average,1923&2004,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,1309,15,1324,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1072,504,1576,2,1,3,1,Good,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,528,Average/Typical,Paved,0,312,No,No,No,May,2009,Warranty Deed - Conventional,Normal Sale,223500
SPLIT OR MULTI-LEVEL,Residential Low-Density,85,13400,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,Split Level,Average,Average,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,1047,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Below Average Living Quarters,516,380,1024,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1086,0,1086,1,1,3,1,Average/Typical,6,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,484,Average/Typical,Paved,0,0,No,Good Wood,No,Jun,2006,Warranty Deed - Conventional,Normal Sale,159950
2-1/2 STORY ALL AGES,Residential Medium Density,90,8100,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Single-family Detached,Two and one-half story: 2nd level unfinished,Average,Average,1898&1965,Hip,Standard (Composite) Shingle,Asbestos Shingles,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,849,849,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),1075,1063,2138,0,2,2,3,Average/Typical,11,Typical Functionality,0,No,Detached from home,Unfinished,2,360,Fair&Poor,Dirt/Gravel,40,156,No,Minimum Privacy,No,Nov,2009,Warranty Deed - Conventional,Normal Sale,106000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,78,10140,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Single-family Detached,One story,Above Average,Above Average,1974&1999,Hip,Standard (Composite) Shingle,Hard Board,99,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Low Quality,663,0,1040,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1309,0,1309,1,1,3,1,Good,5,Typical Functionality,1,Fair,Attached to the home,Rough Finished,2,484,Average/Typical,Paved,265,0,Fair,Good Privacy,No,Jan,2006,Warranty Deed - Conventional,Normal Sale,181000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,0,4438,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Townhouse End Unit,One story,Above Average,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,169,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,662,186,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,0,848,1,1,1,1,Good,4,Typical Functionality,1,Good,Attached to the home,Finished,2,420,Average/Typical,Paved,140,0,No,No,No,Jun,2008,Contract Low Down,Normal Sale,144500
1-STORY 1946 & NEWER ALL STYLES,C (all),66,8712,Gravel,No alley access,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Iowa DOT and Rail Road,Normal,Single-family Detached,One story,Average,Average,1952,Hip,Standard (Composite) Shingle,Wood Siding,0,Fair&Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,540,540,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),1044,0,1044,0,1,2,1,Fair,4,Typical Functionality,0,No,Basement Garage,Unfinished,2,504,Average/Typical,Dirt/Gravel,0,0,No,No,Shed (over 100 SF),Jun,2010,Warranty Deed - Conventional,Allocation,55993
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9750,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Above Average,1958,Gable,Standard (Composite) Shingle,Metal Siding,243,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,608,834,1442,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1442,0,1442,0,1,4,1,Average/Typical,7,Typical Functionality,0,No,Attached to the home,Rough Finished,1,301,Average/Typical,Paved,0,0,No,No,Shed (over 100 SF),Apr,2007,Court Officer Deed/Estate,Normal Sale,157900
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,45,8248,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,1918&1950,Gable,Standard (Composite) Shingle,Stucco,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,686,686,Gas hot water or steam heat,Good,Yes,Standard Circuit Breakers & Romex,686,564,1250,0,1,3,1,Fair,7,Typical Functionality,0,No,Detached from home,Unfinished,1,280,Average/Typical,Partial Pavement,207,0,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,116000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,48,12137,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,442,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1649,1649,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1661,0,1661,0,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,598,Average/Typical,Paved,0,34,No,No,No,May,2010,Warranty Deed - Conventional,Normal Sale,224900
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11425,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1954,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,486,522,1008,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,0,1008,0,1,2,1,Average/Typical,4,Typical Functionality,1,Good,Attached to the home,Rough Finished,1,275,Average/Typical,Paved,0,0,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,137000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,13265,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Single-family Detached,One story,Very Good,Average,2002,Hip,Standard (Composite) Shingle,Cement Board,148,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1218,350,1568,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1689,0,1689,1,2,3,1,Good,7,Typical Functionality,2,Good,Attached to the home,Rough Finished,3,857,Average/Typical,Paved,150,59,No,No,No,Jul,2008,Warranty Deed - Conventional,Normal Sale,271000
SPLIT OR MULTI-LEVEL,Residential Low-Density,80,8816,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Single-family Detached,Split Level,Above Average,Good,1971,Gable,Standard (Composite) Shingle,Hard Board,80,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,504,506,1010,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1052,0,1052,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Unfinished,2,440,Average/Typical,Paved,0,0,No,Minimum Privacy,No,Jun,2010,Warranty Deed - Conventional,Normal Sale,155000
